Data;Hora;Chuva (mm);Nível (cm);Vazão (m3/s);
30/09/2023;20:00:00;             ;             ;;
30/09/2023;20:15:00;             ;             ;;
30/09/2023;20:30:00;             ;             ;;
30/09/2023;20:45:00;             ;             ;;
30/09/2023;21:00:00;             ;             ;;
30/09/2023;21:15:00;             ;             ;;
30/09/2023;21:30:00;             ;             ;;
30/09/2023;21:45:00;             ;             ;;
30/09/2023;22:00:00;             ;             ;;
30/09/2023;22:15:00;             ;             ;;
30/09/2023;22:30:00;             ;             ;;
30/09/2023;22:45:00;             ;             ;;
30/09/2023;23:00:00;             ;             ;;
30/09/2023;23:15:00;             ;             ;;
30/09/2023;23:30:00;             ;             ;;
30/09/2023;23:45:00;             ;             ;;
01/10/2023;00:00:00;0             ;             ;;
01/10/2023;00:15:00;0             ;             ;;
01/10/2023;00:30:00;0             ;421             ;;
01/10/2023;00:45:00;0             ;420             ;;
01/10/2023;01:00:00;0             ;420             ;;
01/10/2023;01:15:00;0             ;419             ;;
01/10/2023;01:30:00;0             ;419             ;;
01/10/2023;01:45:00;0             ;418             ;;
01/10/2023;02:00:00;0             ;418             ;;
01/10/2023;02:15:00;0             ;418             ;;
01/10/2023;02:30:00;0             ;417             ;;
01/10/2023;02:45:00;0             ;417             ;;
01/10/2023;03:00:00;0             ;416             ;;
01/10/2023;03:15:00;0             ;416             ;;
01/10/2023;03:30:00;0             ;415             ;;
01/10/2023;03:45:00;0             ;415             ;;
01/10/2023;04:00:00;0             ;415             ;;
01/10/2023;04:15:00;0             ;414             ;;
01/10/2023;04:30:00;0             ;414             ;;
01/10/2023;04:45:00;0             ;413             ;;
01/10/2023;05:00:00;0             ;413             ;;
01/10/2023;05:15:00;0             ;413             ;;
01/10/2023;05:30:00;0             ;413             ;;
01/10/2023;05:45:00;0             ;412             ;;
01/10/2023;06:00:00;0             ;412             ;;
01/10/2023;06:15:00;0             ;411             ;;
01/10/2023;06:30:00;0             ;411             ;;
01/10/2023;06:45:00;0             ;411             ;;
01/10/2023;07:00:00;0             ;410             ;;
01/10/2023;07:15:00;0             ;410             ;;
01/10/2023;07:30:00;0             ;410             ;;
