Data;Hora;Chuva (mm);Nível (cm);Vazão (m3/s);
02/08/2023;06:30:00;0             ;285             ;101.7;
02/08/2023;06:45:00;0             ;285             ;101.7;
02/08/2023;07:00:00;0             ;285             ;101.7;
02/08/2023;07:15:00;0             ;285             ;101.7;
02/08/2023;07:30:00;0             ;285             ;101.7;
02/08/2023;07:45:00;0             ;285             ;101.7;
02/08/2023;08:00:00;0             ;285             ;101.7;
02/08/2023;08:15:00;0             ;285             ;101.7;
02/08/2023;08:30:00;0             ;285             ;101.7;
02/08/2023;08:45:00;0             ;284             ;100.3;
02/08/2023;09:00:00;0             ;284             ;100.3;
02/08/2023;09:15:00;0             ;285             ;101.7;
02/08/2023;09:30:00;0             ;286             ;103.2;
02/08/2023;09:45:00;0             ;289             ;107.5;
02/08/2023;10:00:00;0             ;290             ;109;
02/08/2023;10:15:00;0             ;293             ;113.5;
02/08/2023;10:30:00;0             ;295             ;116.5;
02/08/2023;10:45:00;0             ;297             ;119.6;
02/08/2023;11:00:00;0             ;298             ;121.1;
02/08/2023;11:15:00;0             ;300             ;124.2;
02/08/2023;11:30:00;0             ;301             ;125.8;
02/08/2023;11:45:00;0             ;302             ;127.3;
02/08/2023;12:00:00;0             ;303             ;128.9;
02/08/2023;12:15:00;0             ;304             ;130.5;
02/08/2023;12:30:00;0             ;306             ;133.7;
02/08/2023;12:45:00;0             ;307             ;135.3;
02/08/2023;13:00:00;0             ;309             ;138.6;
02/08/2023;13:15:00;0             ;310             ;140.2;
02/08/2023;13:30:00;0             ;311             ;141.8;
02/08/2023;13:45:00;0             ;312             ;143.5;
02/08/2023;14:00:00;0             ;312             ;143.5;
02/08/2023;14:15:00;0             ;313             ;145.2;
02/08/2023;14:30:00;0             ;314             ;146.8;
02/08/2023;14:45:00;0             ;315             ;148.5;
02/08/2023;15:00:00;0             ;316             ;150.2;
02/08/2023;15:15:00;0             ;317             ;151.9;
02/08/2023;15:30:00;0             ;319             ;155.3;
02/08/2023;15:45:00;0             ;322             ;160.5;
02/08/2023;16:00:00;0             ;325             ;165.7;
02/08/2023;16:15:00;0             ;327             ;169.3;
02/08/2023;16:30:00;0             ;329             ;172.8;
02/08/2023;16:45:00;0             ;331             ;176.4;
02/08/2023;17:00:00;0             ;332             ;178.2;
02/08/2023;17:15:00;0             ;333             ;180.1;
02/08/2023;17:30:00;0             ;335             ;183.7;
02/08/2023;17:45:00;0             ;335             ;183.7;
02/08/2023;18:00:00;0             ;336             ;185.6;
02/08/2023;18:15:00;0             ;335             ;183.7;
02/08/2023;18:30:00;0             ;336             ;185.6;
02/08/2023;18:45:00;0             ;336             ;185.6;
02/08/2023;19:00:00;0             ;336             ;185.6;
02/08/2023;19:15:00;0             ;335             ;183.7;
02/08/2023;19:30:00;0             ;335             ;183.7;
02/08/2023;19:45:00;0             ;336             ;185.6;
02/08/2023;20:00:00;0             ;335             ;183.7;
02/08/2023;20:15:00;0             ;335             ;183.7;
02/08/2023;20:30:00;0             ;335             ;183.7;
